순번,입주형태,업체명,분야,설명,대표자
30,임대,(재)제주한의약연구원,BT,의학 및 약학 연구개발업,송상열
31,임대,(주)맨도롱,BT,국내 맛집 상품 개발 및 유통,김익현
32,임대,(주)블로코,IT,블록체인 플랫폼,김원범
33,임대,(주)잇츠한불기술연구소 제주분소,BT,화장품 천연소재원료 연구 및 개발업,임병철
34,임대,㈜FES제주,기타,환경업,김현중
35,임대,㈜누리커뮤니케이션,IT,전시 및 행사대행업,유영신
36,임대,㈜뉴메디온,BT,"화장품 원료, 연구 및 개발업",박성민
37,임대,㈜더가든오브내추럴솔루션,BT,화장품 원료 개발,장두식
38,임대,㈜더마프로 생명과학연구소,BT,화장품 유효성 안전성 평가,고재숙
39,임대,㈜모코엠시스,IT,응용소프트웨어 개발 및 공급업,김인수
40,임대,㈜비에스지파트너스,IT,소프트웨어 개발 및 공급업,박철
41,임대,㈜사임당화장품,BT,화장품 연구 개발,이형규
42,임대,㈜신시웨이,IT,소프트웨어 개발 및 공급업,정재훈
43,임대,㈜아미코스메틱,BT,"물리, 화학 및 생물학 연구개발업",이경록
44,임대,㈜아트피큐,IT,소프트웨어 개발 및 공급업,오태헌
45,임대,㈜애월국제문화복합단지,기타,부동산 개발 및 공급업,강성민
46,임대,㈜온플랜인터내셔널,IT,소프트웨어 개발,강명훈
47,임대,㈜웨이나코리아,BT,"물리, 화학 및 생물학 연구개발업",이선애
48,임대,㈜위드오,BT,커피 가공업,홍근화
49,임대,㈜유앤아이제주,BT,전시 및 행사 대행업,김미진
50,임대,㈜제주오션,IT,"물리,화학 및 생물학 연구개발업",강영철
51,임대,㈜제주전기자동차서비스,IT,전시 및 행사기획,이규제
52,임대,㈜제주탑솔라,ET,연료강응형 태양전지 연구개발 외,이방엽
53,임대,㈜지엘인터내셔날,BT,연구개발업,변상훈
54,임대,㈜청룡수산,BT,화장품 연구개발 외,문영섭
55,임대,㈜클로버추얼패션,IT,응용소프트웨어 개발 및 공급업,오승우
56,임대,㈜파워프라자,IT,특수목적용 자동차 연구 개발,김성호
57,임대,㈜한국전기차서비스,IT,기타 엔지니어링 서비스,고현종
58,임대,경은정보기술,기타,기타 컴퓨터 운영 관련 서비스업,최동원
59,임대,넥스트이지,IT,응용소프트웨어 개발 및 공급업,강주경
60,임대,농업회사법인 ㈜제이웰바이오팜,BT,기타과실채소가공및저장처리업 등,김정현
61,임대,농업회사법인 주식회사 제주우다,BT,화장품 제조업,하연우
62,임대,다이브코리아,IT,"물리, 화학 및 생물학 연구개발업",오지만
63,임대,대봉엘에스 주식회사,BT,"물리, 화학 및 생물학 연구개발업",이시전
64,임대,대한뷰티산업진흥원,BT,화학 연구개발업,강유안
65,임대,대한제강 제주㈜,IT,제강업,오치훈
66,임대,디케이엘,IT,엔지니어링 서비스,김형균
67,임대,로맥스인사이트코리아,IT,소프트웨어 개발,박연수
68,임대,링커코리아㈜,IT,스프트웨어 개발 및 공급업,손기찬
69,임대,베네허브,BT,기타 식품 제조업,고경남
70,임대,비디코스제주㈜,BT,화장품 제조,안용석
71,임대,비즈지아이에스,IT,소프트웨어 개발,김한국
72,임대,쓰리에스텍㈜,IT,소프트웨어 개발 및 공급업,강세은
73,임대,아이씨비,IT,소프트웨어 개발 및 공급업,이한용
74,임대,아쿠아그린텍㈜,BT,화학품 제조개발업,장지태
75,임대,아쿠아지노텍,IT,유선통신장비 제조업,송혜인
76,임대,에스피에프에이,IT,배전반 및 전기자동제어반 제조업,김권수
77,임대,에프엔에스㈜,IT,산업시스템 설계 서비스업 액체여과기 제조업,한정호
78,임대,엘케이사이언스 주식회사,BT,연구개발업,이영훈
79,임대,이안갤러리,기타,주거용 건물개발 및 공급업 비금속원료 재생업,강임주
80,임대,제이아라화장품(주),BT,"생산 : 제주향수(유채꽃, 감귤꽃 원료)",김강식
81,임대,제주유니에어,IT,기타공학연구개발업,박태호
82,임대,제주황칠바이오테크㈜,BT,"황칠나무식품,무역업 등",김성원
83,임대,주식회사 나눔에너지,ET,태양광 에너지 연구개발,양지혁
84,임대,주식회사 엔디엠,기타,자율주행차관련기술연구및개발,허원혁
85,임대,주식회사 이지차저,ET,전기차 충전기 인프라 구축,엄우정
86,임대,주식회사 테크원시스템,IT,전자기기 제조업,고좌환
87,임대,주식회사아이엠지베이스,IT,모바일응용스포트웨어개발,강동혁
88,임대,중앙감정평가법인 제주지사,기타,부동산 감정평가업,김동현
89,임대,프롬이스트,CT,영화 및 비디오물 제작업,최병희
90,임대,피앤아이(주),IT,일반용 전기조명장치 제조업,이정순
91,임대,피엔케이피부임상연구센타,BT,"물리, 화학 및 생물학 연구개발업",박진오
92,임대,한국해양환경생태연구소,IT,해양서비스업,곽철우
93,임대,한라산성암영귤농원 영농조합법인,BT,차류 가공업,김순자
94,임대,헬로우마이네임이즈,CT,광고대행 등 광고 대행업체,김민석
95,임대,홀푸드코리아㈜,BT,기타 식료품 제조업,김대원
96,기타,(주)EVAR(에바),ET,전기차 충전기 제조업,이훈
97,기타,(주)구보엔지니어링,ET,자동차 제작,강규남
98,기타,(주)네이처모빌리티,IT,자동차,이주상
99,기타,(주)다이브비앤비,IT,관광IT,조영철
100,기타,(주)동영산업,IT,연구개발업,서 훈
101,기타,(주)디스커버제주,IT,지역연계 액티비티 여행 플랫폼,김형우
102,기타,(주)마인디즈,IT,"웹, 앱 프로그램 개발",박종관
103,기타,(주)브이에스팜텍,BT,항암보조제 연구개발,박신영
104,기타,(주)브이오엠랩,IT,멀티미디어 플랫폼,신재희
105,기타,(주)소프트베리,ET,"전기차충전, 소프트웨어개발업",박용희
106,기타,(주)씨어스,ET,전기차 충전기 제조업,김애옥
107,기타,(주)씨이티코스모,ET,태양광 발전 시스템 개발,이상천
108,기타,(주)아스타리아,IT,블록체인 디앱서비스 플랫폼,조한열
109,기타,(주)에이투젯,CT,VR플랫폼,김성국
110,기타,(주)엑씽크,CT,ICT(앱-이벤트),송보근
111,기타,(주)옵토멕,ET,"자동차부품, 전자부품, 소프트웨어개발업",강나니
112,기타,(주)와이파워원,IT,무선전력송기기 제조업,김제우
113,기타,(주)이엠브이,ET,자동차 개조,김경진
114,기타,(주)지오라인,ET,전기자동차 충전기,조성규
115,기타,(주)타디스테크놀로지,IT,응용소프트웨어개발업,이용권
116,기타,바딧(Bodit),IT,소프트웨어 개발업,신민용
117,기타,박스트리,IT,소프트웨어개발업,지광재
118,기타,봄날에디자인,IT,소프트웨어개발업,양성순
119,기타,엘케이웨이,IT,전기자전거 개발,현홍준
120,기타,위놉스,CT,소프트웨어개발업,이화정
121,기타,주식회사 이브이패스,기타,"시스템 소프트웨어 개발 및 공급업, 기타 무선 통신장비 제조업",현승보
122,기타,주식회사 인피니티플래닛,IT,관광IT,고덕훈
123,기타,주식회사 제주황굼,BT,"식용곤충, 관광콘텐츠 연구 및 개발",김병주
124,기타,플렉싱크,IT,소프트웨어개발업,송재훈
125,기타,한국과학기술원 친환경스마트자동차연구센터,기타,학술용역연구,신성철
126,기타,한국예술종합학교기술지주 주식회사(제주지점),기타,"창업보육, 연구개발",한상진
